open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
1734606000000,102409.34000000,102514.05000000,102176.38000000,102449.99000000,857.73867000,1734609599999,87778707.10330410,100004,400.02028000,40937393.65250870,0
1734609600000,102450.00000000,102559.21000000,101882.09000000,101988.00000000,1055.08532000,1734613199999,107822161.59434890,155152,460.87042000,47109508.92330810,0
1734613200000,101987.99000000,102216.07000000,101667.00000000,101952.44000000,1706.53325000,1734616799999,173998687.90966040,186728,947.03540000,96556751.38322450,0
1734616800000,101952.44000000,102800.11000000,100694.07000000,100942.41000000,3192.18817000,1734620399999,324814727.36697920,533649,1566.53090000,159492808.05433330,0
1734620400000,100942.41000000,101063.38000000,99500.00000000,100679.86000000,4543.00113000,1734623999999,455648781.70734890,525281,2161.67229000,216791535.70672150,0
1734624000000,100679.86000000,101200.00000000,99830.00000000,100716.30000000,2127.60244000,1734627599999,213965176.79720610,268836,1142.02555000,114879389.61266240,0
1734627600000,100716.30000000,100748.87000000,97500.00000000,98855.86000000,5111.98146000,1734631199999,506192359.13262570,530110,2143.20005000,212365820.34195020,0
1734631200000,98855.86000000,98952.73000000,96900.00000000,98932.73000000,5024.54216000,1734634799999,492493045.52104270,664141,2346.27067000,230083773.39276040,0
1734634800000,98932.72000000,99064.06000000,96251.32000000,97199.72000000,3592.37286000,1734638399999,349884903.06223190,449767,1571.46478000,153154359.90974890,0
1734638400000,97199.72000000,97312.00000000,95700.00000000,96409.54000000,4430.95326000,1734641999999,427383490.88724100,455856,2171.56729000,209570450.51720700,0
1734642000000,96409.55000000,98090.90000000,95828.98000000,97417.66000000,2612.13623000,1734645599999,254163389.74401290,217290,1448.58343000,140976548.55926590,0
1734645600000,97417.66000000,98500.00000000,97231.02000000,98391.21000000,1990.04732000,1734649199999,194527639.29441380,187399,1269.41596000,124087969.57562530,0
1734649200000,98391.21000000,98400.01000000,97455.30000000,97461.86000000,1475.86271000,1734652799999,144425917.99691480,162264,745.09377000,72922616.07761870,0
1734652800000,97461.86000000,97814.09000000,96648.78000000,97248.22000000,2526.33162000,1734656399999,245633384.55914740,332492,1222.06219000,118838152.09836760,0
1734656400000,97248.22000000,97542.68000000,96159.84000000,96319.99000000,2512.42589000,1734659999999,243184376.36347300,398315,1050.93392000,101770261.00627100,0
1734660000000,96319.99000000,97731.91000000,96000.00000000,97632.59000000,2632.07757000,1734663599999,255066138.61480200,357506,1277.04474000,123754973.79000910,0
1734663600000,97632.59000000,97784.81000000,96969.70000000,97106.02000000,1041.19363000,1734667199999,101376980.23545750,213950,496.34559000,48324345.51668910,0
1734667200000,97106.02000000,97838.98000000,96839.40000000,97304.07000000,1275.17255000,1734670799999,124303632.89546300,205372,571.84612000,55745748.81710560,0
